1_1,What is a physician's assistant.,What is a physician's assistant.,What is a physician's assistant.,physician assistant  physician assistant physician assistant 
1_2,What is a physician's assistant.,What is a physician's assistant.,What are the educational requirements required to become one.,physician assistant  physician assistant educational requirements required 
1_3,What is a physician's assistant.,What are the educational requirements required to become one.,What does it cost.,physician assistant  educational requirements required educational requirements required cost 
1_4,What is a physician's assistant.,What does it cost.,What's the average starting salary in the UK.,physician assistant  educational requirements required cost average starting salary uk 
1_5,What is a physician's assistant.,What's the average starting salary in the UK.,What about in the US supreme.,physician assistant  average starting salary uk a
1_6,What is a physician's assistant.,What about in the US supreme.,What school subjects are needed to become a registered nurse.,physician assistant  aschool subjects needed registered nurse 
1_7,What is a physician's assistant.,What school subjects are needed to become a registered nurse.,What is the physicians assistant average salary vs an registered nurse.,physician assistant  school subjects needed registered nurse pa average salary rn 
1_8,What is a physician's assistant.,What is the physicians assistant average salary vs an registered nurse.,What the difference between a physicians assistant and a nurse practitioner.,physician assistant  pa average salary rn difference pa nurse practitioner 
1_9,What is a physician's assistant.,What the difference between a physicians assistant and a nurse practitioner.,Do nurse practitioners or physicians assistants make more.,physician assistant  difference pa nurse practitioner nps nps make 
1_10,What is a physician's assistant.,Do nurse practitioners or physicians assistants make more.,Is a physicians assistant above a nurse practitioner.,physician assistant  nps nps make pa np 
1_11,What is a physician's assistant.,Is a physicians assistant above a nurse practitioner.,What is the fastest way to become a nurse practitioner.,physician assistant  pa np fastest np 
1_12,What is a physician's assistant.,What is the fastest way to become a nurse practitioner.,How much longer does it take to become a doctor after being an nurse practitioner.,physician assistant  fastest np longer doctor np 
2_1,What are the main breeds of goat.,What are the main breeds of goat.,What are the main breeds of goat.,main breeds goat  main breeds goat main breeds goat 
2_2,What are the main breeds of goat.,What are the main breeds of goat.,Tell me about boer goats.,main breeds goat  main breeds goat boer goats 
2_3,What are the main breeds of goat.,Tell me about boer goats.,What breed is good for meat.,main breeds goat  boer goats breed good meat 
2_4,What are the main breeds of goat.,What breed is good for meat.,Are angora goats good for it.,main breeds goat  breed good meat boer goats  good 
2_5,What are the main breeds of goat.,Are angora goats good for it.,What about boer goats.,main breeds goat  boer goats  good boer goats  
2_6,What are the main breeds of goat.,What about boer goats.,What are pygmies used for.,main breeds goat  boer goats  pygmies 
2_7,What are the main breeds of goat.,What are pygmies used for.,What is the best for fiber production.,main breeds goat  pygmies fiber production 
2_8,What are the main breeds of goat.,What is the best for fiber production.,How long do Angora goats live.,main breeds goat  fiber production long boer goats   live 
2_9,What are the main breeds of goat.,How long do Angora goats live.,Can you milk Angora goats.,main breeds goat  long boer goats   live milk boer goats   
2_10,What are the main breeds of goat.,Can you milk Angora goats.,How many can you have per acre.,main breeds goat  milk boer goats   acre 
2_11,What are the main breeds of goat.,How many can you have per acre.,Are the main breeds of goat profitable.,main breeds goat  acre boer goats   profitable 
3_1,Tell me about the types of irregular heart beat.,Tell me about the types of irregular heart beat.,Tell me about the types of irregular heart beat.,types irregular heart beat  types irregular heart beat types irregular heart beat 
3_2,Tell me about the types of irregular heart beat.,Tell me about the types of irregular heart beat.,How serious is an irregular heart beat.,types irregular heart beat  types irregular heart beat irregular heart beat 
3_3,Tell me about the types of irregular heart beat.,How serious is an irregular heart beat.,What are the different types of tachycardia.,types irregular heart beat  irregular heart beat types tachycardia 
3_4,Tell me about the types of irregular heart beat.,What are the different types of tachycardia.,What is atrial flutter.,types irregular heart beat  types tachycardia atrial flutter 
3_5,Tell me about the types of irregular heart beat.,What is atrial flutter.,What causes atrial flutter.,types irregular heart beat  atrial flutter atrial flutter 
3_6,Tell me about the types of irregular heart beat.,What causes atrial flutter.,What's the difference between flutter and fibrillation.,types irregular heart beat  atrial flutter difference flutter fibrillation 
3_7,Tell me about the types of irregular heart beat.,What's the difference between flutter and fibrillation.,How does afib affect an ECG.,types irregular heart beat  difference flutter fibrillation afib affect ecg 
3_8,Tell me about the types of irregular heart beat.,How does afib affect an ECG.,Does it shorten your life.,types irregular heart beat  afib affect ecg afib shorten life 
3_9,Tell me about the types of irregular heart beat.,Does it shorten your life.,What triggers it.,types irregular heart beat  afib shorten life triggers life 
3_10,Tell me about the types of irregular heart beat.,What triggers it.,How do you stop an attack.,types irregular heart beat  triggers life stop attack 
3_11,Tell me about the types of irregular heart beat.,How do you stop an attack.,What is the best exercise for an attack.,types irregular heart beat  stop attack exercise life 
4_1,What was the neolithic revolution.,What was the neolithic revolution.,What was the neolithic revolution.,neolithic revolution  neolithic revolution neolithic revolution 
4_2,What was the neolithic revolution.,What was the neolithic revolution.,When did the neolithic revolution start and end.,neolithic revolution  neolithic revolution neolithic revolution start end 
4_3,What was the neolithic revolution.,When did the neolithic revolution start and end.,Why did the neolithic revolution start.,neolithic revolution  neolithic revolution start end neolithic revolution start 
4_4,What was the neolithic revolution.,Why did the neolithic revolution start.,What did the neolithic invent.,neolithic revolution  neolithic revolution start neolithic revolution  invent 
4_5,What was the neolithic revolution.,What did the neolithic invent.,What tools were used.,neolithic revolution  neolithic revolution  invent tools 
4_6,What was the neolithic revolution.,What tools were used.,When was it brought to the british isles.,neolithic revolution  tools brought neolithic revolution   
4_7,What was the neolithic revolution.,When was it brought to the british isles.,Describe the period that follows the neolithic revolution.,neolithic revolution  brought neolithic revolution   describe period neolithic revolution   
4_8,What was the neolithic revolution.,Describe the period that follows the neolithic revolution.,What was the neolithic revolution significance.,neolithic revolution  describe period neolithic revolution   neolithic revolution   significance 
4_9,What was the neolithic revolution.,What was the neolithic revolution significance.,What were the houses like.,neolithic revolution  neolithic revolution   significance houses 
5_1,What are the best ways to cook a turkey.,What are the best ways to cook a turkey.,What are the best ways to cook a turkey.,ways cook turkey  ways cook turkey ways cook turkey 
5_2,What are the best ways to cook a turkey.,What are the best ways to cook a turkey.,Should I brine a turkey before smoking a turkey.,ways cook turkey  ways cook turkey brine turkey smoking turkey 
5_3,What are the best ways to cook a turkey.,Should I brine a turkey before smoking a turkey.,How much salt do I use to brine a turkey.,ways cook turkey  brine turkey smoking turkey salt brine turkey 
5_4,What are the best ways to cook a turkey.,How much salt do I use to brine a turkey.,What kind of wood should I use.,ways cook turkey  salt brine turkey kind wood 
5_5,What are the best ways to cook a turkey.,What kind of wood should I use.,How long should What kind of wood be smoked for.,ways cook turkey  kind wood long turkey smoked 
5_6,What are the best ways to cook a turkey.,How long should What kind of wood be smoked for.,Is it healthy.,ways cook turkey  long turkey smoked smoked turkey healthy 
5_7,What are the best ways to cook a turkey.,Is it healthy.,What can you do with leftovers.,ways cook turkey  smoked turkey healthy leftovers 
5_8,What are the best ways to cook a turkey.,What can you do with leftovers.,How long are leftovers good for in the fridge.,ways cook turkey  leftovers long leftovers good fridge 
5_9,What are the best ways to cook a turkey.,How long are leftovers good for in the fridge.,What's a recipe for soup using it.,ways cook turkey  long leftovers good fridge recipe smoked turkey soup 
5_10,What are the best ways to cook a turkey.,What's a recipe for soup using it.,How about one for chili.,ways cook turkey  recipe smoked turkey soup chili 
6_1,What are the most important US supreme supreme supreme court cases.,What are the most important US supreme supreme supreme court cases.,What are the most important US supreme supreme supreme court cases.,important supreme court cases  important supreme court cases important supreme court cases 
6_2,What are the most important US supreme supreme supreme court cases.,What are the most important US supreme supreme supreme court cases.,What did Plessy v. Ferguson establish.,important supreme court cases  important supreme court cases plessy ferguson establish 
6_3,What are the most important US supreme supreme supreme court cases.,What did Plessy v. Ferguson establish.,How about Marbury vs Madison.,important supreme court cases  plessy ferguson establish plessy ferguson   
6_4,What are the most important US supreme supreme supreme court cases.,How about Marbury vs Madison.,Was it unanimous.,important supreme court cases  plessy ferguson   plessy ferguson   unanimous 
6_5,What are the most important US supreme supreme supreme court cases.,Was it unanimous.,What was the implication of Roe vs Wade.,important supreme court cases  plessy ferguson   unanimous implication roe wade 
6_6,What are the most important US supreme supreme supreme court cases.,What was the implication of Roe vs Wade.,What were the main arguments.,important supreme court cases  implication roe wade main arguments 
6_7,What are the most important US supreme supreme supreme court cases.,What were the main arguments.,What was the point of Brown v Board of Ed.,important supreme court cases  main arguments point brown board ed 
6_8,What are the most important US supreme supreme supreme court cases.,What was the point of Brown v Board of Ed.,What were the main arguments.,important supreme court cases  point brown board ed main arguments   
6_9,What are the most important US supreme supreme supreme court cases.,What were the main arguments.,Why is it important today.,important supreme court cases  main arguments   point brown board ed important today 
7_1,What are the different types of macromolecules.,What are the different types of macromolecules.,What are the different types of macromolecules.,types macromolecules  types macromolecules types macromolecules 
7_2,What are the different types of macromolecules.,What are the different types of macromolecules.,Tell me about the characteristics of carbohydrates.,types macromolecules  types macromolecules characteristics carbohydrates 
7_3,What are the different types of macromolecules.,Tell me about the characteristics of carbohydrates.,What are the characteristics of carbohydrates composed of.,types macromolecules  characteristics carbohydrates carbohydrates composed 
7_4,What are the different types of macromolecules.,What are the characteristics of carbohydrates composed of.,What is they basic structure.,types macromolecules  carbohydrates composed carbohydrates basic structure 
7_5,What are the different types of macromolecules.,What is they basic structure.,What are the main types with examples of each.,types macromolecules  carbohydrates basic structure main types examples 
7_6,What are the different types of macromolecules.,What are the main types with examples of each.,Tell me about lipids.,types macromolecules  main types examples lipids 
7_7,What are the different types of macromolecules.,Tell me about lipids.,What is lipids function.,types macromolecules  lipids carbohydrates basic structure  
7_8,What are the different types of macromolecules.,What is lipids function.,What are the different types of macromolecules.,types macromolecules  carbohydrates basic structure  characteristics carbohydrates    
7_9,What are the different types of macromolecules.,What are the different types of macromolecules.,What is the most common.,types macromolecules  characteristics carbohydrates    common 
7_10,What are the different types of macromolecules.,What is the most common.,What is the difference between them and carbohydrates.,types macromolecules  common difference characteristics carbohydrates    carbohydrates 
7_11,What are the different types of macromolecules.,What is the difference between them and carbohydrates.,Why are carbs better.,types macromolecules  difference characteristics carbohydrates    carbohydrates carbs 
8_1,What was the Securities Act of 1933.,What was the Securities Act of 1933.,What was the Securities Act of 1933.,securities act 1933  securities act 1933 securities act 1933 
8_2,What was the Securities Act of 1933.,What was the Securities Act of 1933.,What is exempt from the Securities Act of 1933.,securities act 1933  securities act 1933 exempt securities act 1933 
8_3,What was the Securities Act of 1933.,What is exempt from the Securities Act of 1933.,Why was the Securities Act of 1933 needed.,securities act 1933  exempt securities act 1933 securities act 1933 needed 
8_4,What was the Securities Act of 1933.,Why was the Securities Act of 1933 needed.,What was the reason for creating the Securities Act of 1933.,securities act 1933  securities act 1933 needed reason creating securities act 1933   
8_5,What was the Securities Act of 1933.,What was the reason for creating the Securities Act of 1933.,What is the largest securities exchange in the world.,securities act 1933  reason creating securities act 1933   largest securities exchange world 
8_6,What was the Securities Act of 1933.,What is the largest securities exchange in the world.,How and when when was the NYSE created.,securities act 1933  largest securities exchange world securities act 1933 created 
8_7,What was the Securities Act of 1933.,How and when when was the NYSE created.,What was the first stock market.,securities act 1933  securities act 1933 created stock market 
9_1,Why is statistics important.,Why is statistics important.,Why is statistics important.,statistics important  statistics important statistics important 
9_2,Why is statistics important.,Why is statistics important.,Why should one study it.,statistics important  statistics important study statistics important 
9_3,Why is statistics important.,Why should one study it.,Tell me about it career options.,statistics important  study statistics important statistics important career options 
9_4,Why is statistics important.,Tell me about it career options.,Are Data Scientists in high demand.,statistics important  statistics important career options data scientists high demand 
9_5,Why is statistics important.,Are Data Scientists in high demand.,How much do they make on average in a year.,statistics important  data scientists high demand statistics important career options make average year 
9_6,Why is statistics important.,How much do they make on average in a year.,What is range.,statistics important  statistics important career options make average year range statistics 
9_7,Why is statistics important.,What is range.,Describe some different metrics to interpret it.,statistics important  range statistics describe metrics interpret statistics important 
9_8,Why is statistics important.,Describe some different metrics to interpret it.,What are quartiles.,statistics important  describe metrics interpret statistics important quartiles 
9_9,Why is statistics important.,What are quartiles.,How do you find the lower and upper quartile.,statistics important  quartiles find lower upper quartile 
10_1,How does water freeze.,How does water freeze.,How does water freeze.,water freeze  water freeze water freeze 
10_2,How does water freeze.,How does water freeze.,What happens to water molecules.,water freeze  water freeze water molecules 
10_3,How does water freeze.,What happens to water molecules.,Why isn't the bottom of the ocean frozen.,water freeze  water molecules nt bottom ocean frozen 
10_4,How does water freeze.,Why isn't the bottom of the ocean frozen.,Can the bottom of the ocean freeze.,water freeze  nt bottom ocean frozen bottom ocean  freeze 
10_5,How does water freeze.,Can the bottom of the ocean freeze.,Where is the coldest place on Earth.,water freeze  bottom ocean  freeze coldest place earth 
10_6,How does water freeze.,Where is the coldest place on Earth.,Does Dome Fuji have inhabitants.,water freeze  coldest place earth dome fuji inhabitants 
10_7,How does water freeze.,Does Dome Fuji have inhabitants.,Why is Antarctica so cold.,water freeze  dome fuji inhabitants antarctica cold 
10_8,How does water freeze.,Why is Antarctica so cold.,How cold is the water underneath the ice.,water freeze  antarctica cold cold water underneath ice 
10_9,How does water freeze.,How cold is the water underneath the ice.,What is the biggest town.,water freeze  cold water underneath ice biggest town 
11_1,What are futuristic designs.,What are futuristic designs.,What are futuristic designs.,  futuristic designs    futuristic designs   futuristic designs 
11_2,What are futuristic designs.,What are futuristic designs.,How did this become a new trend.,  futuristic designs    futuristic designs trend 
11_3,What are futuristic designs.,How did this become a new trend.,Why are most of the constructions inspired by futuristic designs.,  futuristic designs  trend constructions inspired futuristic designs  
11_4,What are futuristic designs.,Why are most of the constructions inspired by futuristic designs.,What are the different domains where such designs have been adapted.,  futuristic designs  constructions inspired futuristic designs  domains futuristic designs   adapted 
11_5,What are futuristic designs.,What are the different domains where such designs have been adapted.,How has it affected technology.,  futuristic designs  domains futuristic designs   adapted affected technology 
11_6,What are futuristic designs.,How has it affected technology.,How have the different giants in the business responded to this.,  futuristic designs  affected technology giants business responded 
11_7,What are futuristic designs.,How have the different giants in the business responded to this.,Has this introduction led to increase in business.,  futuristic designs  giants business responded introduction led increase business 
11_8,What are futuristic designs.,Has this introduction led to increase in business.,If designs are already futuristic  how will this change in the future.,  futuristic designs  introduction led increase business designs futuristic  increase  future 
12_1,What is a good age to get LASIK.,What is a good age to get LASIK.,What is a good age to get LASIK.,good age lasik  good age lasik good age lasik 
12_2,What is a good age to get LASIK.,What is a good age to get LASIK.,Give me a short description of the procedure.,good age lasik  good age lasik give short description procedure 
12_3,What is a good age to get LASIK.,Give me a short description of the procedure.,What are a short description of the procedure benefits.,good age lasik  give short description procedure procedure benefits 
12_4,What is a good age to get LASIK.,What are a short description of the procedure benefits.,What are the risks.,good age lasik  procedure benefits risks 
12_5,What is a good age to get LASIK.,What are the risks.,Describe experiences of some people who had it done.,good age lasik  risks describe experiences people procedure 
12_6,What is a good age to get LASIK.,Describe experiences of some people who had it done.,Are there any good alternatives to it.,good age lasik  describe experiences people procedure good alternatives procedure 
12_7,What is a good age to get LASIK.,Are there any good alternatives to it.,What is it success rate.,good age lasik  good alternatives procedure procedure success rate 
12_8,What is a good age to get LASIK.,What is it success rate.,Once its's done  what kind of precautions do I need to take.,good age lasik  procedure success rate procedure  kind precautions 
12_9,What is a good age to get LASIK.,Once its's done  what kind of precautions do I need to take.,Does the effect wear off with age.,good age lasik  procedure  kind precautions effect wear age 
13_1,What is tofu exactly.,What is tofu exactly.,What is tofu exactly.,tofu  tofu tofu 
13_2,What is tofu exactly.,What is tofu exactly.,How is it made.,tofu  tofu made 
13_3,What is tofu exactly.,How is it made.,What are it origins.,tofu  made origins 
13_4,What is tofu exactly.,What are it origins.,What is the best.,tofu  origins tofu 
13_5,What is tofu exactly.,What is the best.,Is it a kind of cheese.,tofu  tofu kind cheese 
13_6,What is tofu exactly.,Is it a kind of cheese.,Can I eat it raw.,tofu  kind cheese eat raw 
13_7,What is tofu exactly.,Can I eat it raw.,What are common ways to cook it.,tofu  eat raw common ways cook 
13_8,What is tofu exactly.,What are common ways to cook it.,In what cuisines is it popular.,tofu  common ways cook cuisines popular 
13_9,What is tofu exactly.,In what cuisines is it popular.,Is it good for you.,tofu  cuisines popular tofu good 
13_10,What is tofu exactly.,Is it good for you.,Can it make you sick.,tofu  tofu good make sick 
13_11,What is tofu exactly.,Can it make you sick.,Is too much of it bad for you.,tofu  make sick tofu bad 
14_1,What are scalable data center network architectures.,What are scalable data center network architectures.,What are scalable data center network architectures.,scalable data center network architectures  scalable data center network architectures scalable data center network architectures 
14_2,What are scalable data center network architectures.,What are scalable data center network architectures.,What are some examples.,scalable data center network architectures  scalable data center network architectures examples 
14_3,What are scalable data center network architectures.,What are some examples.,Describe the characteristics of FAT tree topology.,scalable data center network architectures  examples describe characteristics fat tree topology 
14_4,What are scalable data center network architectures.,Describe the characteristics of FAT tree topology.,What routes can be taken by an upstream packet.,scalable data center network architectures  describe characteristics fat tree topology routes upstream packet 
14_5,What are scalable data center network architectures.,What routes can be taken by an upstream packet.,Describe core  aggregator and edge switches.,scalable data center network architectures  routes upstream packet describe core  aggregator edge switches 
14_6,What are scalable data center network architectures.,Describe core  aggregator and edge switches.,Are flows bidirectional.,scalable data center network architectures  describe core  aggregator edge switches flows bidirectional 
14_7,What are scalable data center network architectures.,Are flows bidirectional.,How many forwarding rules are there in each layer of the tree.,scalable data center network architectures  flows bidirectional forwarding rules layer tree 
